Label;Split;Style;Action;Business Object;Addition;Tags
send cancellation mail;;VO;send;cancellation mail;;
send card to member;;VO;send;card to member;;
send categorised invoices;;VO;send;categorised invoices;;
send check to employee;;VO;send;check to employee;;
send claim confirmation;;VO;send;claim confirmation;;
send claim documents;;VO;send;claim documents;;
send claim to supervisor;;VO;send;claim;to supervisor;
send collected feedback;;VO;send;collected feedback;;
send comments to the request;;VO;send;comments;to the request;
send completed invoices to validation officers;;VO;send;completed invoices to validation officers;;
send confirmation;;VO;send;confirmation;;
send confirmation letter;;VO;send;confirmation letter;;
send confirmation message to customer;;VO;send;confirmation letter;;
send confirmation notification;;VO;send;confirmation notification;;
send confirmation to customer;;VO;send;confirmation;to customer;
send confirmation to the sale team;;VO;send;confirmation;to the sale team;
send contact information;;VO;send;contact information;;
send contract;;VO;send;contract;;
send correct invoices;;VO;send;correct invoices;;
send creation request;;VO;send;creation request;;
send criminal record certificate;;VO;send;criminal record certificate;;
send customer application;;VO;send;customer application;;
send customer data;;VO;send;customer data;;
send customer denial;;VO;send;customer denial;;
send customer letter (1);;VO;send;customer letter (1);;
send customer letter (2);;VO;send;customer letter (2);;
send customerletter (3);;VO;send;customerletter (3);;
send cv;;VO;send;cv;;
send cv and motivation letter;;VO;send;cv and motivation letter;;
send degrees for acad. recogn. (2 weeks / 1 hour / $5);;VO;send;degrees for acad. recogn. (2 weeks / 1 hour / $5);;
send details to sale team;;VO;send;details to sale team;;
send dismissal;;VO;send;dismissal;;
send documentation to admin office;;VO;send;documentation to admin office;;
send documents back 2 weeks;;VO;send;documents back 2 weeks;;
send documents for assessment;;VO;send;documents for assessment;;
send draft of solution for review;;VO;send;draft of solution for review;;
send e-mail with more lucrative conditions;;VO;send;e-mail with more lucrative conditions;;
send e-mail with warning to client;;VO;send;e-mail with warning to client;;
send email;;VO;send;email;;
send email to customer;;VO;send;email to customer;;
send email to student;;VO;send;email to student;;
send emoticon;;VO;send;emoticon;;
send error message;;VO;send;error message;;
send error message to customer and provide correct details;;VO;send;error message to customer and provide correct details;;
send error notice;;VO;send;error notice;;
send expert request;;VO;send;expert request;;
send expertise;;VO;send;expertise;;
send expertize;;VO;send;expertize;;
send fail notification;;VO;send;fail notification;;
send feedbackand ask for more information;;VO;send;feedbackand ask for more information;;
send final proposals to faculty;;VO;send;final proposals to faculty;;
send first decision;;VO;send;first decision;;
send for approval;;VO;send;for approval;;
send for approval;;VO;send;for approval;;
send for approvals;;VO;send;for approvals;;
send form back to data entry officer;;VO;send;form back to data entry officer;;
send form to procurement;;VO;send;form to procurement;;
send forms to master data entry management;;VO;send;forms to master data entry management;;
send goods;;VO;send;goods;;
send grades of all students and request payment;;VO;send;grades of all students and request payment;;
send highlighted mistakes;;VO;send;highlighted mistakes;;
send incomplete or non-compliant invoices to client;;VO;send;incomplete or non-compliant invoices to client;;
send information to inventory team;;VO;send;information to inventory team;;
send information to students;;VO;send;information to students;;
send inquiry;;VO;send;inquiry;;
send insurance plan to customer and update insurance plan database;;VO;send;insurance plan to customer and update insurance plan database;;
send invitation;;VO;send;invitation;;
send invite;;VO;send;invite;;
send invoice;;VO;send;invoice;;
send invoice;;VO;send;invoice;;
send invoice entry form;;VO;send;invoice entry form;;
send invoice for payment;;VO;send;invoice for payment;;
send invoice to admin office;;VO;send;invoice to admin office;;
send invoice to customer;;VO;send;invoice to customer;;
send invoice to experienced ssp members for clarification ( in 1 day);;VO;send;invoice to experienced ssp members for clarification ( in 1 day);;
send invoice to registery;;VO;send;invoice to registery;;
send invoice to ssp;;VO;send;invoice to ssp;;
send invoice to the cashier;;VO;send;invoice to the cashier;;
send job;;VO;send;job;;
send letter;;VO;send;letter;;
send list of deficiencies;;VO;send;list of deficiencies;;
send loan offer;;VO;send;loan offer;;
send m1;;VO;send;m1;;
send m7;;VO;send;m7;;
send malllist;;VO;send;malllist;;
send material requisition;;VO;send;material requisition;;
send materials;;VO;send;materials;;
send medicine;;VO;send;medicine;;
send message;;VO;send;message;;
send message to partner;;VO;send;message to partner;;
send money to account;;VO;send;money to account;;
send more information request;;VO;send;more information request;;
send mortgage application form;;VO;send;mortgage application form;;
send mortgageapplication form;;VO;send;mortgageapplication form;;
send mortgageform;;VO;send;mortgageform;;
send offer;;VO;send;offer;;
send one fax to accept the invitation and another fax with the material of the lessons;;VO;send;one fax to accept the invitation and another fax with the material of the lessons;;
send order;;VO;send;order;;
send order confirmation;;VO;send;order confirmation;;
send order rejection;;VO;send;order rejection;;
send order response simple;;VO;send;order response simple;;
send ordered materials;;VO;send;ordered materials;;
send out offer for emergency help;;VO;send;out offer for emergency help;;
send out offer for immediate help;;VO;send;out offer for immediate help;;
send outcome to students;;VO;send;outcome to students;;
send over invoice;;VO;send;over invoice;;
send part of the receipts;;VO;send;part of the receipts;;
send parts;;VO;send;parts;;
send parts to counter;;VO;send;parts to counter;;
send paycheck;;VO;send;paycheck;;
send payment;;VO;send;payment;;
send payment report;;VO;send;payment report;;
send payment report to accounts receivable;;VO;send;payment report to accounts receivable;;
send payment report to accounts receivable department;;VO;send;payment report to accounts receivable department;;
send payment report to client;;VO;send;payment report to client;;
send payment report to registry;;VO;send;payment report to registry;;
send payment to customer;;VO;send;payment to customer;;
send payment to customer;;VO;send;payment to customer;;
send payment to customer;;VO;send;payment to customer;;
send position specification;;VO;send;position specification;;
send positive result to partner;;VO;send;positive result to partner;;
send potentialposition list;;VO;send;potentialposition list;;
send prepared form;;VO;send;prepared form;;
send prescription pickup;;VO;send;prescription pickup;;
send problem description;;VO;send;problem description;;
send procedure;;VO;send;procedure;;
send product;;VO;send;product;;
send production request;;VO;send;production request;;
send proposals for update;;VO;send;proposals for update;;
send proposals to finance dept.;;VO;send;proposals to finance dept.;;
send purchase order;;VO;send;purchase order;;
send purchased goods to warehouse;;VO;send;purchased goods to warehouse;;
send quote;;VO;send;quote;;
send quote form;;VO;send;quote form;;
send quoteto the customer;;VO;send;quoteto the customer;;
send receipts to admin office;;VO;send;receipts to admin office;;
send receipts to the administration for repayment;;VO;send;receipts to the administration for repayment;;
send refusal;;VO;send;refusal;;
send register info;;VO;send;register info;;
send registration info;;VO;send;registration info;;
send rejection letter and explanation;;VO;send;rejection letter and explanation;;
send rejection letter with explanation;;VO;send;rejection letter with explanation;;
send rejection letter with explanation;;VO;send;rejection letter with explanation;;
send rejection to unqualified applicants;;VO;send;rejection to unqualified applicants;;
send rejectionletter;;VO;send;rejectionletter;;
send release notice;;VO;send;release notice;;
send release notification to customs;;VO;send;release notification to customs;;
send relevant form;;VO;send;relevant form;;
send reminder;;VO;send;reminder;;
send reminder email to requestor;;VO;send;reminder email to requestor;;
send reminder letter;;VO;send;reminder letter;;
send reminder letter to client;;VO;send;reminder letter to client;;
send reminder to customer;;VO;send;reminder;to customer;
send reminder to customer;;VO;send;reminder to customer;;
send reminder to customer;;VO;send;reminder to customer;;
send report;;VO;send;report;;
send report from expert;;VO;send;report from expert;;
send report to a / r department;;VO;send;report to a / r department;;
send report to client;;VO;send;report to client;;
send report to developer;;VO;send;report to developer;;
send report to registry;;VO;send;report to registry;;
send request;;VO;send;request;;
send request for account creation;;VO;send;request for account creation;;
send request to all partners;;VO;send;request to all partners;;
send request to banks;;VO;send;request to banks;;
send requested information;;VO;send;requested information;;
send requests;;VO;send;requests;;
send requests to partners;;VO;send;requests to partners;;
send resolution to client (20 min);;VO;send;resolution to client (20 min);;
send resolution to the client;;VO;send;resolution to the client;;
send resolution written by level 2;;VO;send;resolution written by level 2;;
send response to customer;;VO;send;response to customer;;
send result;;VO;send;result;;
send result of evaluation;;VO;send;result of evaluation;;
send results to referee;;VO;send;results to referee;;
send review;;VO;send;review;;
send rfq;;VO;send;rfq;;
send rfq and customer details;;VO;send;rfq and customer details;;
send searched reservation;;VO;send;searched reservation;;
send second decision;;VO;send;second decision;;
send service invoice;;VO;send;service invoice;;
send signed documents back;;VO;send;signed documents back;;
send status to user;;VO;send;status to user;;
send success notification;;VO;send;success notification;;
send switch-over request;;VO;send;switch-over request;;
send task back to l2 staff (2 min);;VO;send;task back to l2 staff (2 min);;
send task back to level 1 staff;;VO;send;task back to level 1 staff;;
send text message;;VO;send;text message;;
send the certificate to the student;;VO;send;the certificate to the student;;
"send the employee a ""approval in progress"" email";;VO;send;"the employee a ""approval in progress"" email";;
send the employee a rejection notice by email;;VO;send;the employee a rejection notice by email;;
send the membership cards to the new members;;VO;send;the membership cards to the new members;;
send the order materials;;VO;send;the order materials;;
send the ordered material;;VO;send;the ordered material;;
send the ordered materials;;VO;send;the ordered materials;;
send the ordered materials;;VO;send;the ordered materials;;
send the ordered materials;;VO;send;the ordered materials;;
send the ordered materials;;VO;send;the ordered materials;;
send the payment record to accounts receivable department;;VO;send;the payment record to accounts receivable department;;
send the payment report to the registry;;VO;send;the payment report to the registry;;
send the request to administration office;;VO;send;the request to administration office;;
send the required info;;VO;send;the required info;;
send the resolution to client;;VO;send;the resolution to client;;
send the resolution to level 2;;VO;send;the resolution to level 2;;
send the rfq;;VO;send;the rfq;;
send the rfq;;VO;send;the rfq;;
send the switch contract to the customer;;VO;send;the switch contract to the customer;;
send the teaching invitation to the lecturer;;VO;send;the teaching invitation to the lecturer;;
send theorderedmaterials;;VO;send;theorderedmaterials;;
send ticket / e-ticket;;VO;send;ticket / e-ticket;;
send ticket by mail;;VO;send;ticket by mail;;
send ticket id;;VO;send;ticket id;;
send to client team;;VO;send;to client team;;
send to cusotmer;;VO;send;to cusotmer;;
send to customer;;VO;send;to customer;;
send to experienced ssp member;;VO;send;to experienced ssp member;;
send to faculty;;VO;send;to faculty;;
send to loan inspector who makes final decision;;VO;send;to loan inspector who makes final decision;;
send to partner;;VO;send;to partner;;
send to pharmacy;;VO;send;to pharmacy;;
send to review;;VO;send;to review;;
send tocustomer;;VO;send;tocustomer;;
send transport reservation info;;VO;send;transport reservation info;;
send transportresevation;;VO;send;transportresevation;;
send unavailability message;;VO;send;unavailability message;;
send unaval.;;VO;send;unaval.;;
send updatedtime estimations;;VO;send;updatedtime estimations;;
send vacancy offer;;VO;send;vacancy offer;;
send vendor sap number;;VO;send;vendor sap number;;
send verification email;;VO;send;verification email;;
send verified report to financial department;;VO;send;verified report to financial department;;
sending file to the inspector;;AN;sending;file to the inspector;;
sending final meeting dates;;AN;sending;final meeting dates;;
sending minutes to committee members;;AN;sending;minutes;to committee members;
sending of rejection letter;;AN;sending;of rejection letter;;
sending order to processing plant;;AN;sending;order;to processing plant;
sending product to customer;;AN;sending;product to customer;;
sending the data to miranda;;AN;sending;the data;to miranda;
sending the file back to the loan who is making the final decision;;AN;sending back;the file;to the loan who is making the final decision;
sends a mortgage;;DES / EVENT;sends;a mortgage;;
sends approval letter;;DES / EVENT;sends;approval letter;;
sends cooperation request;;DES / EVENT;sends;cooperation request;;
sends denial letter;;DES / EVENT;sends;denial letter;;
sends exception;;DES / EVENT;sends;exception;;
sends filled application to university;;DES / EVENT;sends;filled application;;
sends information about entrance exams;;DES / EVENT;sends;information;;
sends invoice;;DES / EVENT;sends;invoice;;
sends payment request;;DES / EVENT;sends;payment request;;
sends purchase invoice;;DES / EVENT;sends;purchase invoice;;
sends reminder;;DES / EVENT;sends;reminder;;
sends request;;DES / EVENT;sends;request;;
sennding mortgage offer;;AN;sennding;mortgage offer;;
sent corrected mistakes;;DES / EVENT;sent;corrected mistakes;;
sent master data entry request form;;DES / EVENT;sent;master data entry request form;;
sent out mortgage offer;;DES / EVENT;sent out;mortgage offer;;
sent the contract to the administration;;DES / EVENT;sent;the contract;;
sent the new resolution to client;;DES / EVENT;sent;the new resolution;;
separate urgent invoices;;VO;separate;urgent invoices;;
server sends client notification of failed authentication;;DES / EVENT;sends;notification of failed authentication;;
service vehicle;;NA;;service vehicle;;
servicing is performed;;DES / EVENT;is performed;servicing;;
set case to the 'in progress' status;;VO;;case to the 'in progress' status;;
set case to the 'solved' state;;VO;set;case to the 'solved' state;;
set deadlines;;VO;set;deadlines;;
set discount rate;;VO;set;discount rate;;
set invoice status to parked;;VO;set;invoice status to parked;;
set item for sale at discount;;VO;set;item for sale at discount;;
set loop counter;;VO;set;loop counter;;
set reserve;;VO;set;reserve;;
set status to ?parked?;;VO;set;status to ?parked?;;
set to 'in process';;VO;set;to 'in process';;
set up individual contract with customer;;VO;set up;individual contract with customer;;
set up meeting with the president;;VO;set up;meeting with the president;;
set up meeting with the vice president;;VO;set up;meeting with the vice president;;
set up meeting with the vice-president;;VO;set up;meeting with the vice-president;;
set up scholarship;;VO;set up;scholarship;;
set up the vacancy in nga.net;;VO;set up;the vacancy in nga.net;;
setting up temporary centers in affected areas;;AN;setting up;temporary centers;in affected areas;
settle invoice;;VO;settle;invoice;;
settlement reached;;DES / EVENT;reached;settlement;;
settlement: payment of the charges for goods;;AN;settlement;payment;of the charges for goods;
share information with customer;;VO;share;information with customer;;
share wall post;;VO;share;wall post;;
ship;;VO;ship;;;
ship;;VO;ship;;;
ship and issue invoice;;VO;ship issue;invoice;;
ship arrival notification;;VO;ship;arrival notification;;
ship bicycle;;VO;ship;bicycle;;
ship bicycle to customer;;VO;ship;bicycle to customer;;
ship bike;;VO;ship;bike;;
ship goods;;VO;ship;goods;;
ship item;;VO;ship;item;;
ship order;;VO;ship;order;;
ship product;;VO;ship;product;;
ship the book;;VO;ship;the book;;
ship the package;;VO;ship;the package;;
ship the product;;VO;ship;the product;;
ship to customer;;VO;ship;to customer;;
shipment;;AN;shipment;;;
shipment management;;AN;management;shipment;;
shipped to property inspector;;DES / EVENT;shipped;;;
shipped to the loss verification department;;DES / EVENT;shipped;;;
shipped to the loss verifiction department;;DES / EVENT;shipped;;;
shipping;;AN;shipping;;;
shipping and method preference;;NA;;shipping and method preference;;
shipping details;;NA;details;shipping;;
shipping method / details;;NA;method details;shipping;;
shortlist interview applicants;;VO;shortlist;interview applicants;;
shortlist round 2 applicants;;VO;shortlist;round 2 applicants;;
show assessment results and alternatives;;VO;show;assessment results and alternatives;;
show result screen;;VO;show;result screen;;
sign and fill all the documents;;VO;sign;and fill all the documents;;
sign byfund manager;;VO;sign;byfund manager;;
sign certificate;;VO;sign;certificate;;
sign contact;;VO;sign;contact;;
sign contract;;VO;sign;contract;;
sign documents;;VO;sign;documents;;
sign export contract;;VO;sign;export contract;;
sign in;;VO;sign;in;;
sign out from amazon web site;;VO;sign;out from amazon web site;;
sign request form;;VO;sign;request form;;
sign the application;;VO;sign;the application;;
sign the certificate;;VO;sign;the certificate;;
sign the docs;;VO;sign;the docs;;
sign the document;;VO;sign;the document;;
sign the request;;VO;sign;the request;;
sign up;;VO;sign up;;;
sign up for facebook;;VO;sign up;for facebook;;
signalization of an industrial problem;;AN;signalization;of an industrial problem;;
signature procedure;;NA;procedure;signature;;
signed in;;DES / EVENT;signed;in;;
simple search or power search?;;GATEWAY;;;;
simulation & improvement;;AN;simulation improvement;;;
site building 3 days;;AN;building;site;3 days;
site design (10 days);;AN;design;site;(10 days);
site development (2 days);;AN;development;site;(2 days);
site is developed (2 days);;DES / EVENT;is developed;site;(2 days);
skip branch;;VO;skip;branch;;
slide down a 'race';;VO;slide down;a 'race';;
small independent grocers;;NA;;small independent grocers;;
sold tickets;;NA;tickets;sold;;
solution and instructions received;;DES / EVENT;received;solution and instructions;;
solution received;;DES / EVENT;received;solution;;
solution review;;AN;review;solution;;
solve locally;;VO;solve;locally;;
solve problem;;VO;solve;problem;;
solve remotely;;VO;solve;remotely;;
solve request;;VO;solve;request;;
solve the ticket;;VO;solve;the ticket;;
sort by date;;VO;sort;by date;;
sort by invoice amount;;VO;sort;by invoice amount;;
sort by per client;;VO;sort;by per client;;
sort by vendor;;VO;sort;by vendor;;
sort for urgent direct invoices;;VO;sort;for urgent direct invoices;;
sort inbox by priority;;VO;sort;inbox by priority;;
sort invoice;;VO;sort;invoice;;
sort invoice by amount;;VO;sort;invoice by amount;;
sort invoice by client;;VO;sort;invoice by client;;
sort invoice by vendor;;VO;sort;invoice by vendor;;
sort invoice per amount;;VO;sort;invoice per amount;;
sort invoice per vendor;;VO;sort;invoice per vendor;;
sort invoices;;VO;sort;invoices;;
sort invoices based on invoice amount;;VO;sort;invoices based on invoice amount;;
sort invoices by payment date per vendor;;VO;sort;invoices by payment date per vendor;;
sort invoices by vendor;;VO;sort;invoices by vendor;;
sort invoices for entry;;VO;sort;invoices for entry;;
sort invoices into clients;;VO;sort;invoices into clients;;
sort invoices per client;;VO;sort;invoices per client;;
sort invoices per vendor;;VO;sort;invoices per vendor;;
sort invoices per vendor;;VO;sort;invoices per vendor;;
sort labels by customer and item type;;VO;sort;labels by customer and item type;;
sort mail;;VO;sort;mail;;
sort per payment date;;VO;sort;per payment date;;
sort per vendor;;VO;sort;per vendor;;
sort the invoices;;VO;sort;the invoices;;
sort the invoices per client;;VO;sort;the invoices per client;;
sort vendor into database;;VO;sort;vendor into database;;
southern cdc;;NA;cdc;southern;;
sow review;;VO;sow;review;;
specialist investigation;;AN;investigation;specialist;;
specify and quantify the demand;;VO;specify;and quantify the demand;;
specify the signing;;VO;specify;the signing;;
specimen description;;AN;description;specimen;;
spend all;;VO;spend;all;;
spoons;;NA;;;;
sprint;;VO;sprint;;;
staff requisition approved;;DES / EVENT;approved;staff requisition;;
stage products;;VO;stage;products;;
stamp and date;;VO;stamp date;;;
stamp as new member and add the date;;VO;stamp add;as new member / the date;;
stamp data entry form 'urgent';;VO;stamp;data entry form 'urgent';;
stamp invoice with red stamp;;VO;stamp;invoice with red stamp;;
stamp letter;;VO;stamp;letter;;
stamp original as closed;;VO;stamp;original as closed;;
stamp receipt of payment;;VO;stamp;receipt of payment;;
stamp the invoice entry form red;;VO;stamp;the invoice entry form red;;
stamp the letter;;VO;stamp;the letter;;
stamps 'new member' and date on letter;;DES / EVENT;stamps;letter;;
stamps 'new member'&writes the date;;DES / EVENT;stamps;;;
staple invoice and put into dedicated outbox;;VO;staple put;invoice;into dedicated outbox;
staple invoice entry form to front of invoice;;VO;staple;invoice entry form to front of invoice;;
staple invoice entry form to invoice;;VO;staple;invoice entry form to invoice;;
staple to invoice;;VO;staple;to invoice;;
start a bar fight;;VO;start;a bar fight;;
start case;;VO;start;case;;
start debtrecovery;;VO;start;debtrecovery;;
start inquiry about mortgage;;VO;start;inquiry about mortgage;;
start internal checks;;VO;start;internal checks;;
start interview;;VO;start;interview;;
start new case;;VO;start;new case;;
start new interview;;VO;;;;
start payment;;VO;start;payment;;
start process the invoices;;VO;start;process the invoices;;
start project;;VO;start;project;;
start repairing;;VO;start;repairing;;
start screen;;VO;start;screen;;
start support phase;;VO;start;support phase;;
start upload daily info;;VO;start;upload daily info;;
state name change requirement;;VO;state;name change requirement;;
status to tender;;NA;tender;status to;;
steal agreement;;VO;steal;agreement;;
stock available;;VO;stock;available;;
stock checked;;DES / EVENT;checked;stock;;
stock not available;;DES / EVENT;not available;stock;;
stop for investigation;;VO;stop;for investigation;;
store buyer's payment information;;VO;store;buyer's payment information;;
store data;;VO;store;data;;
store documents;;VO;store;documents;;
store pallets at assigned storage location;;VO;store;pallets at assigned storage location;;
store products;;VO;store;products;;
store raw materials;;VO;store;raw materials;;
stored based on bin policy and procedures;;DES / EVENT;stored;based;;
stored based on item policy;;DES / EVENT;stored;based;;
storyboard;;NA;;;;
storyboard (full day);;NA;day);storyboard (full;;
storyboard with costumer;;NA;costumer;storyboard with;;
strip kernels;;VO;strip;kernels;;
strong financial position;;NA;position;strong financial;;
structuring of efficient practices;;AN;structuring;of efficient practices;;
student;;NA;;;;
student records mailing lists;;NA;;student records mailing lists;;
sub process: invoice processing;;AN;processing;sub process: invoice;;
sub process: processing of high priority invoices;;AN;processing;of high priority invoices;;
sub process: validation of invoice;;AN;validation;of invoice;;
sub-process for manual handling;;NA;handling;sub-process for manual;;
submit;;VO;submit;;;
submit a file and retrieve the corresponding information;;VO;submit retrieve;a file / the corresponding information;;
submit a request;;VO;submit;a request;;
submit acceptance form;;VO;submit;acceptance form;;
submit application for confirmation;;VO;submit;application for confirmation;;
submit changes;;VO;submit;changes;;
submit claim;;VO;submit;claim;;
submit claim;;VO;submit;claim;;
submit claimform;;VO;submit;claimform;;
submit declaration and other documents;;VO;submit;declaration and other documents;;
submit details;;VO;submit;details;;
submit ethics application;;VO;submit;ethics application;;
submit import documents;;VO;submit;import documents;;
submit insurance claim;;VO;submit;insurance claim;;
submit insuranceclaim;;VO;submit;insuranceclaim;;
submit listing;;VO;submit;listing;;
submit loan request;;VO;submit;loan request;;
submit order to kitchen;;VO;submit;order to kitchen;;
submit order to procurement department;;VO;submit;order to procurement department;;
submit order to sommelier;;VO;submit;order to sommelier;;
submit payment;;VO;submit;payment;;
submit purchase order;;VO;submit;purchase order;;
submit purchase order;;VO;submit;purchase order;;
submit search request;;VO;submit;search request;;
submit study plan to phd office;;VO;submit;study plan to phd office;;
submit the change request;;VO;submit;the change request;;
submit the claim;;VO;submit;the claim;;
submit the insurance claim;;VO;submit;the insurance claim;;
submit the payment;;VO;submit;the payment;;
submit thepayment;;VO;submit;thepayment;;
submits an order ticket;;DES / EVENT;submits;an order ticket;;
subprocess 1;;NA;1;subprocess;;
subprocess 2;;NA;2;subprocess;;
subrogation sub-process;;NA;sub-process;subrogation;;
succesfull;;DES / EVENT;succesfull;;;
success;;NA;;;;
suggesting modifcations;;AN;suggesting;modifcations;;
supermarket chains;;NA;chains;supermarket;;
supervised monetary transaction;;AN;transaction;supervised monetary;;
supervisor revision;;AN;revision;supervisor;;
supplied to customer;;DES / EVENT;supplied;customer;;
supply parts;;VO;supply;parts;;
supply parts in stock;;VO;supply;parts in stock;;
support officer;;VO;support;officer;;
survey plan registration check;;AN;check;survey plan registration;;
suspend;;VO;suspend;;;
suspend connection until payment;;VO;suspend;connection until payment;;
suspend internet service until payment received;;VO;suspend;internet service until payment received;;
suspend service of vehicle;;VO;suspend;service of vehicle;;
suspended repairing;;NA;repairing;suspended;;
swap boarding pass;;VO;swap;boarding pass;;
swipe card;;VO;swipe;card;;
switch power enhancement;;VO;switch;power enhancement;;
synchronising oracle database with inspectors' tablet;;AN;synchronising;oracle database with inspectors' tablet;;
system: find manager(s) of profit center responsible (per line item);;VO;find;manager(s) of profit center responsible (per line item);;
system: park invoice;;VO;park;invoice;;
system: post invoice;;VO;post;invoice;;
system: send to manager;;VO;send;to manager;;
system: set relevant line items as approved;;VO;set;relevant line items as approved;;
tag invoice as parked;;VO;tag;invoice as parked;;
tag invoice to create vendor master record;;VO;tag;invoice to create vendor master record;;
take a batch of invoices;;VO;take;a batch of invoices;;
take a task from list and determine if it's a know know problem;;VO;take determine;a task from list and determin if it's a know know problem;;
take all the recives and the request;;VO;take;all the recives and the request;;
take batch of invoices to department outbox;;VO;take;batch of invoices to department outbox;;
take coke out of the fridge;;VO;take;coke out of the fridge;;
take computer back;;VO;take;computer back;;
take computer home;;VO;take;computer home;;
take customers details and input into system;;VO;take input;customers details / into system;;
take forms to master data entry department;;VO;take;forms to master data entry department;;
take home;;VO;take;home;;
take invoices to master records department;;VO;take;invoices to master records department;;
take out extra insurance;;VO;take;out extra insurance;;
take out extrainsurance;;VO;take;out extrainsurance;;
take payement;;VO;take;payement;;
take payment;;VO;take;payment;;
take pc back;;VO;take;pc back;;
take photo using webcam;;VO;take;photo using webcam;;
take task from tracking system and resolve the task;;VO;take resolve;task from tracking system / the task;;
take the conversation by itself;;VO;take;the conversation by itself;;
take the fourth blue page to the finance department;;VO;take;the fourth blue page to the finance department;;
take the table to personal service department;;VO;take;the table to personal service department;;
take the ticket order to the finance department;;VO;take;the ticket order to the finance department;;
take vital signs;;VO;take;vital signs;;
takes collected letters to secretary;;DES / EVENT;takes;collected letters;;
takes entrance test;;DES / EVENT;takes;entrance test;;
takes order;;DES / EVENT;takes;order;;
talk to the nice girl at the bar;;VO;talk;to the nice girl at the bar;;
target audience decisions and feelings;;VO;target;audience decisions and feelings;;
taxi arrives;;DES / EVENT;arrives;taxi;;
technical incident resolution;;AN;resolution;technical incident;;
technological innovation;;NA;innovation;technological;;
telephone call;;NA;call;telephone;;
telephone call to the sender to complete the information;;NA;information;telephone call to the sender to complete the;;
tell customer discount conditions;;VO;tell;customer discount conditions;;
temperature weight and date center;;NA;center;temperature weight and date;;
template to publish certification;;NA;certification;template to publish;;
terminate search;;VO;terminate;search;;
terms and conditions;;NA;conditions;terms and;;
terms and conditions reviewed and determined;;DES / EVENT;reviewed  determined;terms and conditions;;
test;;VO;test;;;
test audit;;AN;audit;test;;
test computer for future;;VO;test;computer for future;;
test document review;;AN;review;test document;;
test employee skills;;VO;test;employee skills;;
test execution;;VO;test;execution;;
test for computer functionality;;VO;test;for computer functionality;;
test hardware;;VO;test;hardware;;
test products;;VO;test;products;;
test report signoff;;AN;signoff;test report;;
test resolution;;VO;test;resolution;;
test resolution and notify results;;VO;test notify;resolution / results;;
test software;;VO;test;software;;
test the computer for functionality and problems;;VO;test;the computer for functionality and problems;;
test the solution;;VO;test;the solution;;
test whether repair is successful;;VO;test;whether repair is successful;;
the inspector inspects the files and attaches photos and written report;;DES / EVENT;inspects  attaches;files, photos and written report;;
the recipient is italian private / foreign institution;;DES / EVENT;is;italian private / foreign;;
the recipient is italian public institution;;DES / EVENT;is;italian public;;
this guideline is not appropriate;;DES / EVENT;is not appropriate;this guideline;;
tick 'invoice entered' on invoice entry form;;VO;tick;'invoice entered' on invoice entry form;;
"tick box ""invoice entered""";;VO;tick;"box ""invoice entered""";;
tick box on entry form 'invoice entered';;VO;tick;box on entry form 'invoice entered';;
tick invoice complete;;VO;tick;invoice complete;;
tick no for invoice completed field on form;;VO;tick;no for invoice completed field on form;;
tick yes for invoice completed field on form;;VO;tick;yes for invoice completed field on form;;
ticket counter;;NA;;ticket counter;;
ticket with baggae requirement;;NA;;ticket with baggae requirement;;
ticket with baggage requirement;;NA;;ticket with baggage requirement;;
ticket without baggage requirement;;NA;;ticket without baggage requirement;;
timeout;;NA;;;;
tissue processing;;AN;processing;tissue;;
title administrative check;;AN;check;title administrative;;
trace order;;VO;trace;order;;
track down original invoice;;VO;track down;original invoice;;
track files;;VO;track;files;;
track original invoice;;VO;track;original invoice;;
transaction cancelled;;DES / EVENT;cancelled;transaction;;
transcribe interviews;;VO;transcribe;interviews;;
transfer & update journal entries;;VO;transfer update;journal entries;;
transfer money to seller's account;;VO;transfer;money to seller's account;;
transfer the maximum fund he / she has;;VO;transfer;the maximum fund he / she has;;
transfer the money to student account;;VO;transfer;the money to student account;;
transfer the money to the professor;;VO;transfer;the money to the professor;;
transferring money to employee;;AN;transferring;money;to employee;
transform into workflow;;VO;transform;into workflow;;
translate receipts;;VO;translate;receipts;;
transmit the calculated financial indicators to finance;;VO;transmit;the calculated financial indicators to finance;;
travel;;VO;travel;;;
try to find part (ordered by relevancy) in any of the given original synsets;;VO;try;to find part (ordered by relevancy) in any of the given original synsets;;
try to get synset for part;;VO;try;to get synset for part;;
try to repair computer;;VO;try;to repair computer;;
try to split label;;VO;try;to split label;;
turn down offer;;VO;turn down;offer;;
tutor;;NA;;tutor;;
tutor profile;;AN;;tutor profile;;
tutor registration payment;;VO;tutor;registration payment;;
type the client name;;VO;type;the client name;;
type the date of arrival at ssp;;VO;type;the date of arrival at ssp;;
type the vendor name;;VO;type;the vendor name;;
uat test;;AN;test;uat;;
uat test scenarios preparation;;AN;preparation;uat test scenarios;;
ui test cases creation;;AN;creation;ui test cases;;
unavailable;;DES / EVENT;unavailable;;;
uncoupling occurs 20 minutes;;DES / EVENT;uncoupling occurs;;;
undertake bank payment;;VO;undertake;bank payment;;
undo already processed pp;;VO;undo;already processed pp;;
uniform section;;NA;section;uniform;;
update account;;VO;update;account;;
update all group calendars;;VO;update;all group calendars;;
update and review invoice;;VO;update review;invoice;;
